Service,Title,Date,Score,Body
Constable,Polite staff good communication & effective,10/1/2019,5,Visit for smear test. Was made to feel at ease and confident in nurse. Listening to me important. Knew my background. Really rate feeling that I was important.
Constable,Poor,3/30/2017,1,I'm no longer a patient here as we decided last year it would be best to change surgeries as we were not happy with the surgery or how some doctors were with us
Constable,Poor,8/12/2016,1,"I attended an appointment for a general health check.  Prior to interview I sustained a hand and wrist injury falling off my bike, I asked the nurse if she could look at it for me.  She replied that she did not have time for that, she had other patients to see.(The waiting room was empty.)  She also stated to come back and see the doctor in a month.  My hand was badly swollen and bruised.  I feel that I was not afforded respect and professional standards were not applied in this case."
Constable,poor,9/30/2019,2,Continuity of care needs to be improved.  In Suffolk warfarin tests happen with full blood tests at the Riverside Clinic as the phlebotomist at Constable Country is on long term sick leave.  In Essex they use a pin prick test which is far easier and less invasive & much quicker
Constable,poor,9/30/2019,2,"At times it feels you are being rushed through and that you are not being listened to at all.  The nurses have been very good because they listen, are friendly and are patient orientated.  I'd like them to improve the appointment system"
Constable,poor,9/30/2019,2,"Lack of continuity of care. New doctor every time doesn't know about me.  Having to repeat what drugs I am on each time. After shoulder injury, dr. read through discharge summary but didn't understand how to transfer information into my notes"
Constable,poor,9/30/2019,1,You can't make advanced appts. even when the consultant at the hospital has asked you to see them by a certain date.
Constable,poor,9/30/2019,1,Getting an apt is very difficult.  If you can get through on the phone around 8 am you will get an appt. but you never get to see the same doctor.  It would be nice to get to know your doctor
Constable,Poor - all round,1/11/2016,1,"Long waits, locum GPs, don't answer phone.  Not great follow up, etc. etc"
Constable,Poor - cannot combine appointments,3/30/2017,2,Two tests need doing but the surgery has been unable to combine these appointments and two visits to the surgery are now required which isn't ideal
Constable,Poor - long waits poor communication,10/11/2016,1,"Long waits, locum GPs,  don't answer phones, not great follow up,  etc. etc. !"
Constable,Poor adminstration and timekeeping,7/8/2015,1,"I booked an appointment to see the GP after being called by reception following a test.  When I had the appointment there were no notes on the system so the GP asked me to come back a week later.

There is often miscommunication and different staff tell you different information about situations that are taking place. The appointment system is better recently. Not having continuity of care has actually impacted on the trestment in the past. I feel it is important to have continuity.
Reception staff will often want to know full details of why you need an appointment which is not always appropriate.  It seems that you won't get an appointment if you don't say.

Parents can often struggle to get an appointment on the day, especially if you are getting children ready for school because phoning has to be done early in the morning.  Pre-booking, even just the day before, would enable families to plan.  I've been told by staff to get to the surgery for a certain time or I would miss my appointment but even first thing in the morning they are already running late."
Constable,Poor and Rude,8/21/2015,1,Today I popped into the surgery at 810am just to ask a quick question.  The surgery was empty and there where members of staff chatting when I said excuse me I was totally ignored. When I asked for help they carried on talking and googling and went into the office.  Leaving me there.  I had to ring the bell to get some assistance to be told oh I thought you where checking in on the screen.  My query di not get sorted out because it was only a 2 minute question I wanted to ask a nurse.  I was offered an appointment which was totally not necessary.  Funny how they can blatantly stand and chat and giggle but not give a patient 2 minutes of their time.
Constable,Poor continuity and not 'joined up',6/18/2019,3,"GPs chop and change, not much continuity of care. Ineffective management of surgery. I feel that they can't seem to make clear decisions. Pre-booking of appointments is not possible, you have to ring up in the morning. Services do not seem to be joined up. However, the nurse practitioners are good."
Constable,Poor experience,9/11/2017,1,Went to the surgery for an appointment to see a doctor. I was told no appointments were available. I was very unwell and a nurse who was visiting as a patient called 999 and assisted me until the ambulance arrived.
Constable,Poor on many issues.,11/13/2017,2,"Doctors always running late. Locums seem better at explaining and listening.  Receptionists: some really helpful but generally better in Capel. However, letter from hospital unopened for 8 month.  Generally poor admin.  Difficult to make appointments.  Sometimes try queuing outside to avoid telephone wait."
Constable,Poor service and attitude,3/30/2017,2,"Doctors don't seem to want to listen to you and appointments are rushed.  They don't seem to want to help a lot of the time.  After speaking to the doctor on duty I was told I couldn't have any more medication.  I then booked to see another GP and they prescribed the medication straight away.
I visited the surgery with a bleeding arm but when I asked if a nurse could dress it I was told no nurses  were on duty and I'd have to go to A & E"
Constable,"Poor, short staffed.",4/5/2017,1,I took a urine test into the surgery at 9.10 am for it to be dipped by a nurse. She immediately told me there was an infection.  My mother (who this was for) suffers dementia.  As I look after her I needed a prescription asap.  The prescription should be sent to our local surgery.  I was still begging for this at 5 pm.  I needed to start the medication!!!  Short staffed!  Not my problem!
Constable,"Poor. Hard getting appointments, doctor rude, nurses brilliant",3/30/2017,1,"Getting an appointment - lack of continuity and doctor can be arrogant and rude.  I have complained in the past but have had no response.  The nurses here are brilliant; very good with the children, they were prepared to listen"
Constable,Poor. Hard to see GP but they are very good,3/30/2017,2,Trying to see a doctor is difficult.  I need to see a GP but have to see a nurse as none available.  When you do get to see someone they are very good.
Constable,"Poor. Long waiting times, can't get appointments & variable staff attitudes",11/13/2017,2,Waiting times poor. Difficult to get appointments but tend to be better with children.  Variable staff attitudes.  Friends have moved to other surgeries.
Constable,Practice is limited for dementia support,10/12/2017,4,"Hands are tied, professionals are unable to support families where an individual has dementia. There seems very little they can actually give to people."
Constable,Prefer the phone queue system,2/11/2018,5,Got an appointment this morning and I prefer the queue system on the phone to my last surgery.
Constable,Pretty good,10/15/2021,4,"I don't visit often but I have felt that it is a bit more difficult to get a face to face appointment however, when I spoke to a GP they did agree to see me. I do like that the preventative things like flu vaccinations and shingles jabs have all been offered. The covid vaccination sessions run by the surgery have all gone well too and included a health check  which was great."
Constable,Problems making appointments,7/8/2015,2,"Trying to get through on the phone at 8 am is very difficult. you can't get through quickly.  For ou can turn up at 4.30 to be fitted in.  
I did ask to see a doctor today but have been given an appointment with the nurse when I would've preferred to see the doctor.
Non-urgent appointments it would help to have pre-bookable appointments available.
Having a drop-in style surgery would help patients to see a doctor when they need to but I do think that if you have an emergency.  I've had very good treatment from the nurses at the surgery for a number of different issues.  They have been great"
Constable,Quite accomodating,2/11/2018,4,Staff are quite accommodating. Normally phone for appointments and generally get one on the day. It would be nice to be able to book appointments ahead to allow you to plan. The staff are friendly and doctors explain things well.
Constable,Really great,10/15/2021,5,My husband had an issue and staff were really great at sorting out everything. The triage system has worked well however when you have questions they have to go through the reception staff which means only one thing at a time gets answered so it makes getting the information more drawn out as they have to go back to the doctor if you then have a follow up question. I haven't had any issues getting through on the phone and can't fault the staff they are all very good. The covid vaccination process was very good and efficient.
Constable,Really struggle,8/13/2018,2,Really struggle to get appointments at the surgery. There are long queues on the phone which is frustrating. I don't like being asked the reason for the appointment and at times reception staff can be a bit curt and unfriendly.
Constable,Really very good,12/12/2022,4,I saw a trainee last time but I saw them 50 minutes after my appointment time and that was a long time with a young baby. There are a limited number of appointments available at the Capel surgery which is difficult for patients.  It would be great if the car park spaces could be made bigger or to have some allocated children spaces as getting a baby car seat out is very difficult.  I didn't feel the 6 week check for my baby was very thorough and mine was even more limited so I actually booked another appointment with a female doctor as soon as I came out. It was done in a much better way and I was really reassured and was confident with the GP.  Appointments have been fine to get.
Constable,Recent improvement,7/8/2015,4,Staff are helpful and we have noticed improvements recently. Recently had about a 5 day delay with medication changes after the hospital revised the medicition I should be on.  The GP sorted this out the next time I visited but I was on the wrong medication for a few days. Getting appointments has improved. You can now get through on the phones.  Yesterday I called and got an appointment and I'm back today. The nurses have been really good and I get to see them whenever I need to.
Constable,Recently improved,11/20/2015,3,"Been an improvement in how I'm received at the surgery, great"
Constable,Reception are good,1/3/2022,5,No problems getting appointments by phone it all works well. I have regular blood tests and the appointments are easy and quick to arrange. The reception staff are helpful and very good and addressing issues.
Constable,Reception are helpful,1/3/2022,5,I called the surgery and was given an appointment straightaway by reception who were nice and helpful. I've had appointments with the nurse and a paramedic and from today's experience  I've been very happy with how it's gone.
Constable,Reception staff have been fantastic,4/15/2016,3,"Reception staff have been fantastic, very helpful and pleasant and do their best. Nurses are excellent too. GP communication skills are a little lacking at times. They can rush you through and don't listen to what you are saying. Also at times the doctor talks to me rather than my father.  I'd like to see better patient care, I've tried to book a double appointment in the past but this is very difficult. I was previously prescribed the wrong medication which was picked up when I had a bleed. The medication was then changed by a different doctor who was fantastic but as they were a locum they didn't stay."
Constable,Receptionists nice and helpful,7/11/2018,5,"Receptionists are nice and helpful, the nurses are great as they explain things well. I would prefer to be able to book appointments with the same people. The door through to the treatment rooms is very heavy and difficult to open, especially if you use a frame."
Constable,Recognise that staff are under pressure,4/21/2016,4,When you have an appointment the experience is good. I recognise staff are under pressure but staff are trying to deliver. There are not enough doctors and appointments. You have to queue from 7.30 am to guarantee an appointment and there appears not to be enough staff at the surgery.
Constable,Rude abd abrupt.,9/2/2017,2,"Staff have been rude and abrupt with me.
Not having continuity with doctors has impacted on the care I've received.  It would be better to see the same doctor more regularly.  Understanding what is being explained can be difficult and language is an issue at times. Nurses have been absolutely fabulous.  I've been trying to see a specific doctor since October with no success."
Constable,See different doctors,1/8/2017,2,"The biggest problem is the number of new doctors/locums you see, which means lengthy explanations of complex history. We've seen four different doctors recently and the hospital picked up that one medication should not have been taken long term, even though this was how the surgery prescribed it."
Constable,See different people,9/11/2018,3,"You get mixed messages from the doctors as you see so many different people and they say different things and prescribe different medications, so you don't get to the bottom of things."
Constable,see same gp,3/13/2019,5,To make an appointment you do have to call first thing and it can take 10 minutes to get through. I like the queue system on the phone but sometimes it would be better to not know where you are and may be they could explain to patients how many lines are answered and how long on average it takes to get through. There is little explanation about why or how things operate at the surgery and it would help patients to understand and access services better if it was explained. I tend to see the same gp and like the continuity.
Constable,Seeing a specific dr. is difficult.,9/2/2017,2,Getting an appointment and to see the doctor of your choice is very difficult.  There is no continuity of care  Ringing on the day is difficult so coming to the surgery is easier.  Being able to drive makes accessing appointments at either surgery ok.
Constable,Seen a good dr recently,7/27/2018,3,Care hasn't always been great but I've seen a good doctor recently. I don't like that the reception area isn't manned and its difficult to get the attention of staff out the back.
Constable,Seen quickly,2/3/2022,5,"I've had no problem getting appointments and I've been seen very quickly and then referred on to hospital with in 2 weeks. The surgery have been amazing, offering lots of support and called me to arrange a post operative wound check."
Constable,Service has been good,1/9/2016,5,"Rarely visit but when I do the service has been good.  Waiting times can be a little long but it depends if another patient needs more time.  You do need to be a little proactive by asking questions but generally staff explain things well.
The change in the way prescriptions are managed has made it more complicated  even though I can drive .  It is difficult to get my prescription to the surgery again before it can be prescibed"
Constable,Sometimes short waits but generally not too bad,1/9/2016,5,"Always been pleasant.  Sometimes short waits but generally not too bad.  When I visit, the service I receive meets my needs."
Constable,Staff and treatment good,2/3/2022,4,The phones are very busy in the mornings especially so it can take time to get through. When I've been in the surgery it is frustrating that when reception are trying to book an appointment for me the time they are offering gets snapped up by someone else booking appointments. Once you do get an appointment the staff and treatment are good.
Constable,Staff are friendly,2/11/2018,5,"Never had a problem, staff are friendly and I like that I can request a call back rather than having an appointment. Generally I'm confident in the staff. Getting through on the phone can take some time"
Constable,Staff are good,12/12/2022,3,Pre booked appointments with the nurse was booked last week and I was able to make the one I was offered. The phones are very busy with long waits but the staff are good and having two practices works quite well too
Constable,Staff are good,2/3/2022,4,"It's pretty good getting appointments, today's appointment was a prebooked blood test and I don't have any issues getting them on a regular basis. The staff are good and explain things well."
Constable,"staff are helpful, no problems getting appointments",7/4/2017,5,"New, Clean.  Staff are very helpful.  Can always get the information neede.  No problems getting appointments and can go to either surgery"
Constable,Staff are very polite and kind,10/24/2019,4,The staff and reception staff are very polite and kind. I understand why the new call back system is in place but it can be a bit cumbersome for the patient. It is a good surgery though.
Constable,Staff have been exceptional,11/26/2015,4,The staff have been exceptional as they've helped get appointments arranged when needed urgently and for specific reasons.  there can sometimes be waits for your appointment but if this is due to emergencies or other patients needing more time this is understandable.
Constable,Staff have been under enormous pressure,6/17/2016,4,"Last year the service wasn't very good as you could never get an appointment, it has  improved. I don't have total faith in the doctors, some of it is because of attitude and the wishy washy approach they take. They ask you as the patient what needs doing but you're there because you need their advice.  Because of the situation with in the surgery staff have been under enormous pressure and have remained professional.  If someone needs longer in an appointment I'm happy to wait if I'm going to be given the same when I need it."
Constable,Staff have been very helpful on my visits,8/2/2022,5,Punctual appointments & friendly professional staff.
Constable,Staff not on reception and lack of equipment,3/30/2017,1,No one is on reception when people arrive and you often have to wait for a receptionist to come through. I also had problems getting the right equipment to do a test that the hospital wanted me to have.  The equipment was broken and initially I was told that it wasn't something they did.
Constable,Staff very pleasant & professional but sometime hard to get appointments,3/30/2017,4,Calling first thing means the phones are very busy but if you call later all appointments for the day are gone.  Like the friendliness and professionalism of staff.  All very pleasant
Constable,Surgery works well,11/8/2021,4,"I find the surgery good and have always got a same day appointment when I've needed one. The triage system also works well for me, the only thing is that I'd like to be able to see one doctor as at times seeing different doctors for the same issue means you get told to do different things as they have different approaches."
Constable,Terrible.,5/27/2020,1,"My mother was issued a prescription for oral morphine after breaking her ankle and foot. When I tried to collect this from Capel, I was told that the Dr had not signed the prescription. The second time I went round to collect this, I was told the prescription was at east Bergholt, which I agreed to collect. On my way to east Bergholt I was called to say it was now at Capel surgery. My mum has had to wait 8 hours for her morphine and has been in agony. When I asked for a complaint form, on my third trip round the pharmacy, I was told they didn’t have any and advised to write a letter. Fortunately for my mother she has family to support her. If she had not, she would have been left in considerable pain which would have no doubt resulted in an ambulance and hospital admission during a global pandemic. Absolutely disgusting service, poor communication between surgery’s and terrible practice from a registered GP."
Constable,Text reminders great,10/15/2021,5,The text message reminders sent by the practice are great and both the flu and covid vaccination clinics  have gone really smoothly with the booking system simple. Each was well organised and staff great.
Constable,The appointment system seems quite complicated.,9/2/2017,3,The appointment system seems quite complicated.  When I called initially for a pre-planned appointment none were available but then one was found. You can't always be available to ring at 8 am.  It would be good to have greater flexibility to book advanced appointments.  When calling they sometimes come across as a little unhelpful
Constable,The new prescription process is long.,9/2/2017,4,"The new prescription process is quite long and drawn out.
To pick up medication can take 6 days for it to be ready.
Bit of a delay for blood tests at the surgery.  Can be a little tricky to get an appointment to see a GP and you don't get to see the same doctor all the time."
Constable,The nurses are very good.,4/19/2016,4,The nurses are very good. You can't always see the doctor you want but you do get an appointment. The only issue with that is that the doctor doesn't know your history.  Sometimes the waits can be quite long but this isn't on every visit. I have a pre booked appointment for next Monday and it was no problem to get.
Constable,There seems to be absolutely no continuity,11/14/2020,1,"Very poor service for the following reasons, can never get an appointment, never able to see the same doctor, doctors knowledge of my condition is very poor, access to my medical records is too time consuming, test results have to be searched in 60 day blocks so looking for test that were carried out a few years ago becomes an impossible task!"
Constable,They cannot do enough for you,5/1/2017,5,They cannot do enough for you.  They bring my medication to my home for me for which I am very grateful as I cannot get out a lot - no transport.  Thank you all
Constable,They do try to see you if you need,6/18/2019,4,"They do try to accommodate you and get you an appointment, even if it's not with a GP.
When you ring at 8am you do have to wait on the phone for a long time, 20 minutes, and have been cut off when 2nd only to rejoin the queue at 27th.
High turn over of staff which means you see different people all the time and when you find a good doctor they then leave.
Don't tend to know what the doctors specialisms are."
Constable,They have improved. Very helpful & supportive,3/15/2018,4,"They have improved, they have really bent over backwards to help us with our situation. It's nice to see the improvement. having the clinical pharmacist at the surgery has been great, very helpful and supportive."
Constable,They have too many patients,2/18/2020,1,"They do not have the number of doctors to deal with patients, the telephone appointment service is not suitable for those who work, you do not always have to be bedridden to the ill enough to see a doctor!"
Constable,This Practice has been brilliant recently.,11/14/2020,5,"I filled out three e forms on three separate occasions.  GPs rang me extremely promptly and were very helpful.  Also had three telephone appointments and same again, GPs rang me very promptly and were very thorough and helpful.  Reassuring in these difficult times to get prompt help."
Constable,Told to come back to see them but can't,9/4/2019,3,You don't get to see the same GP. When you see someone they say to come back and see them in so many weeks but when you try and book you can't and have to call on the day and then you can't see who you want to see. If  the doctor wants to see you they need to book you in or change what they say to patients.
Constable,Treatment explanation can be lacking,11/26/2015,3,Couple of GP's not good at treatment explanation and very dismissive.
Constable,Treatment of Injury to finger.,6/30/2020,5,"An injury to one of my fingers necessitated repeated dressing by the team of  nurses  at East  Bergholt over a period of seven weeks.    The team is a tribute to the practice, each member showing great care,  compassion and professionalism .   I am so grateful and can't thank them enough.."
Constable,triage system works well,7/4/2017,5,Generally just come for my annual check up which works well but if you need a blood test it can take longer to get an appointment.  The triage system worked well today.  After speaking to the doctor I was given a morning appointment
Constable,Unable to make appointment,6/11/2020,1,"I was advised after consultation of 111 doctor to make a follow up appointment with my GP.
There is no way of doing this without visiting East Bergholt surgery in person which we are clearly told not to do."
Constable,Understaffed,12/5/2016,3,Understaffed and lacking the highest standard.
Constable,Unhappy with appointments system +leadership,7/8/2015,4,"Generally by queuing we do get to see the doctor of our choice. To help with  continuity of care pre-bookable appointments would be good. If we needed an appointment on the day we're sure we would actually get to see the doctor if busy. Sometimes it feels that Capel doesn't always get the same service as that available at East Bergholt Surgery.  Seeing the same doctor when you have an ongoing issue would be better.  You do need continuity otherwise most of the 10 minutes you're allowed are taken up with explaining the problem and you are unable to get to the new problem.
The leadership of the practice seems to be an issue; a lot of the problems come from there."
Constable,Unprofessional,5/8/2020,1,"My daughter who has shielded for 19 wks & wound to her leg that needed to be seen within 24hrs , advised from a & e . 
Dr’s not willing to see her wound to check no signs of infection , myself advising she is high risk health wise !  No nurse free to see her either . Told that I had to wait another 24hrs to be seen ! So a worrying night deciding how her leaking wound may become infected ."
Constable,used e consult,7/25/2022,5,used e-consult to describe symptoms late in the evening. GP rang me the next morning (ie within 12 hrs) to discuss further and prescribe treatment
Constable,Very good,12/14/2022,4,"No issues getting appointments when I've needed them and I call which doesn't take too long either. I like that you get the text reminder about appointments as it is useful. The staff are friendly, it was good when you did see the doctor more often but that aspect isn't as easy any more. Reception staff are friendly and helpful and I like that I can attend either of the surgery sites."
Constable,Very good doctors surgery,1/17/2023,5,Called Monday in the morning and got through on the phones in less than 10 minute which seems to be a big improvement recently.the staff on reception are very helpful and friendly. Doctor sent my prescription to pharmacy straight away.  Nothing to groan about
Constable,Very good in general,3/30/2017,5,"In general it's been very good.  Staff are magnificent and often go the extra mile; they are very willing to help.  Can get appointments on the day.  Patient care is very good but the wider experience is not so good.  More feedback to patients needed.  ""You said - we did"" board"
Constable,Very good service,3/30/2017,5,Very good service considering the number of people who need to be seen
Constable,Very happy with service,3/3/2021,5,"Promptly seen by a nurse practitioner who was knowledgeable, efficient and kind."
Constable,Very pleased with the service,1/9/2016,4,Very pleased with the service. I've always managed to get an appointment when I need one.  They always try to squeeze you in.
Constable,Very poor prescription service,12/14/2016,1,"Put prescription request into surgery 12/10/16 as they are so inefficient that they now say they need 7 working days to sign a repeat script.  In my opinion this pathetic.  Sorry !  Asked for said script to be delivered to East Bergholt chemist.  Went to collect script on 21/10/2016 and was told it was no through yet.  They showed me their system and indeed no sign of script.  Surgery claim they sent it but no evidence to prove it.  Happens all the time.  On this day another patient had exactly the same experience,   Yet another sad tale of failure of this grossly underperforming practice at every level"
Constable,Very poor.,11/13/2017,2,Nothing good!  Used for years and currently at its worst.  High turnover of doctors - no continuity.  Mis-diagnosing by locum doctors - identified by hospital.  Difficult to get appointments and reception often not attended.  Staff on computers in back office. Practice Manager rarely available if problem
Constable,Wait up to 45 mins with small child,10/24/2019,3,"I do have to wait for a while before being called in, I have had to wait up to 45 mins and with a small child can be frustrating in the waiting area. But otherwise no concerns about this surgery."
Constable,Waiting times are quite good,4/15/2016,4,"Waiting times are quite good, you can't expect not to have any delays."
Constable,Waiting times have been ok.,1/9/2016,5,Very nice and helpful.  Waiting times have been ok.  I always book by phone and have not had any problems.
Constable,Where to start,12/20/2019,1,"Call back system is a ridiculous time waster for patients and no doubt GP’s - don’t bother with the EConsult took two days over the time “limit” to receive a missed call...
Looks like I’ve lost the postcode health lottery - considering relocating to have a competent doctors surgery...."
Constable,Why can't the toilet seat be repaired?,10/24/2019,4,"Its a good surgery but why can't the toilet seat be repaired in the ladies, its been loose for months!"
Constable,Wonderful Nurses,11/13/2017,4,The nurses are brilliant.  They regularly dress a wound for me.  Nurses are really good but don't see the doctors very often.
Constable,Wonderful when you get here,12/12/2022,4,Getting through on the phone can mean a long wait. When I was 6th in line it took 1/2hr to speak to someone and that was later in the day . The staff are very good and really once you talk to a GP and then get invited in to see them it works really well.
Constable,Works well,12/8/2021,4,The triage system works well for me as and when I need an appointment. I've had no particular issues but do worry that not having face to face appointments as often may mean issues are potentially missed.
Constable,Worse practice ever,6/4/2021,1,"I have never come across such uncaring, difficult and rude doctors.  Everything at this surgery takes for ever even trying to get through on the phone and you are constantly having hurdles thrown in the way. In can takes over a week just to get a medication review even if you have no meds and they are needed urgently.  I have absolutely no faith in this practice.  Look elsewhere for your GP if you can."
Constable,Would like more hospitality from staff,3/23/2018,4,Generally good to get appointments. Staff are usually helpful but could be more accommodating at times and less abrupt. Getting blood tests is normally ok when having at the surgery.
Constable,Would like to see a permanent doctor,2/11/2018,4,I haven't had any problems really. I would prefer more continuity with a permanent doctor as you do see a lot of locums. I tend to visit the surgery to make my appointments rather than calling as it's easier to get an appointment that way.
Constable,You can get appointments.,3/2/2017,4,"You do need to book a month ahead to have your ears done, whereas you previously could book 4 -5 days ahead. Can get appointments when I need them"
Constable2,10 minute appointments can be an issue,3/17/2016,4,10 minute appointments can be an issue. The flu clinics should use the village hall. No problems
Constable2,2 star,6/18/2015,2,2 star
Constable2,3 doctors refused to do a home visit,10/23/2019,1,"Dementia patient in desperate need for a visit to be made comfortable in her last stage. 3 dr refused to visit finally got one out who didn’t even take temp and couldn’t see the problem with the green discharge from a infection I had to remind her of her duty of care 
Would have been better calling out a vet"
Constable2,3 stars,11/20/2015,3,3 Stars
Constable2,3 Things,7/14/2015,2,"Medication - Doctor prescribed an additional drug without a medication review only the pharmacist picked it up + queried it with me. The practice did apologise.

Lost Letter - My husband needed an operation at his dentists but due to his medication it needed to be amended to prevent too much bleeding and this needed to be okayed by his doctor. We wrote to the practice in May, had to send a second letter in 6 after the first was lost, the letter was sent back to the dentist and another letter was sent in reference to the first letter that was lost. The whole process took 1 1/2 months.

Queue - (sometimes there has been 16 people in the queue). As a carer getting to the surgery to an appointment is very difficult first thing in the morning but getting through on the phone is impossible if you need an appointment on the same day. You can't pre book appointments which is frustrating."
Constable2,4 Stars,11/20/2015,4,4 Stars
Constable2,4 stars,11/20/2015,4,4 Stars
Constable2,4 Stars,11/20/2015,4,4 Stars
Constable2,4 Stars,11/20/2015,4,4 Stars
Constable2,A bit easier to get appointments,9/8/2018,3,"It is difficult to get an appointment, in the past it has been a two week wait but at the moment it is slightly easier. Receptionist are very helpful but because you don't see the same doctor each time you have to explain yourself and the situation each time you visit. Even early appointments can run behind by nearly an hour. We were told after about 1/2 hr there would be a wait. It can be confusing when doctors explain things as they can often say different things or contradict each other."
Constable2,A friendly surgery,10/24/2019,3,"Its a friendly surgery, on the whole referrals are good, I am just concerned about the expansion of the village and how will the surgery cope with more residents?"
Constable2,Able to get on the day appointments,3/16/2016,3,"The last three times I've been to the surgery I've been able to get an appointment on the day. The doctors do not give a lot of eye contact because they are either reading your notes or writing up what you are saying. Continuity, although not good has not impacted on my care."
Constable2,Advance appointments limited,12/4/2018,3,The number of advanced bookings are very limited. It doesn't sit well to call on the day for non urgent matters. On occasions there is not enough seating in the waiting room and people have to stand.
Constable2,All options available.,11/13/2017,4,Can get appointments either by phone or at the surgery;  it works quite well.
Constable2,Another patient came in to the treatment room,11/20/2015,3,"When I had an appointment with the nurse, I was behind the curtain but another patient was bought in to the room. This was not appropriate."
Constable2,Apart from getting appointments its good,8/4/2016,4,Getting an appointment with a particular doctor is not easy. I've been told I can only call at 8am as no advance appointments are available at all. Even when you do call the appointments are often gone. Apart from difficulties getting appointments everything else is good. At times reception staff can be a bit brisk but other than that staff are good.
Constable2,Appalled,6/23/2021,2,I was appalled at the manner in which my wife was spoken to (on my behalf) by a Dr X chasing up my whereabouts when indeed l was sitting in waiting to be seen. We have come from an appalling practice and had hoped this one would be better as there is no choice to change Surgery here.
Constable2,Appalling,8/4/2016,1,"Appalling experience. Reception staff, nursing and pharmacy staff excellent, quality of care lacking."
Constable2,Appointment mix up,10/5/2016,5,I booked a blood test appointment at Capel but when I arrived the nurse wasn't there but the receptionist kindly spoke to the doctor and they actually took the blood - very good.
Constable2,Appointment system is confusing,6/6/2016,3,How appointments are allocated is confusing. Even when you ring at 8am they say all appointments are gone and the same happens when you go in to the surgery but you're told appointments can't be pre booked . You're unable to see the same doctor so when you see another doctor you get conflicting / different advice. If you do see the same doctor it allows them to see if there has been any progress or deterioration.
Constable2,Appointments ar difficult to get,9/8/2018,3,"Getting an appointment is very difficult, you are offered a triage appointment but it doesn't work as they then just say to come in anyway."
Constable2,Appointments are difficult to get,7/4/2017,4,Appointments are difficult to get at both surgeries
Constable2,Appointments easier to get at other surgery,11/20/2015,3,I find it easier to get appointments at the East Bergholt Surgery than here
Constable2,Appointments hard to get is don't drive.,12/14/2016,2,"Access to appointments at Capel is a big issue when you can't drive.  I was called by the practice and told that I needed to come in to see the doctor about a recent blood test and that I needed to call the next day.  By 8.10 the next morning all appointments were gone and I had to ask a family member to take me later in the day to East Bergholt.  There was no explanation by the receptionist that it wasn't urgent, which was worrying.  My medication just needed changing and it was a wasted appointment.  The discussion could have taken place on the phone"
Constable2,"Appointments hard to get, treatment indifferent",4/4/2017,1,Getting through on the phone and getting an appointment is difficult.  Some of the care and treatment provided by the doctors is not good.  Could wait weeks to see a doctor of my choice.  Practice management is lacking and could be improved. Reception staff are very good with patients.
Constable2,appointments system could be improved,7/4/2017,3,"More likely now to be directed to East Bergholt for an appointment rather than Capel.  The appointments system could with improving, like to be able to arrange an appointment in advance.  It's easier to come to the surgery and get an appointment rather than trying to get through on the phone"
Constable2,Appreciate the hospitality.,11/13/2017,5,"Very homely surgery , not like the really big surgeries.  The shutters on the pharmacy are very dirty."
Constable2,apps for a dr can be difficult,7/25/2016,1,"Getting an appointment (to see a nurse) for me has not been a problem but my husband has tried to see a doctor and this has been more difficult.
Blood test - he had to wait 3 weeks for an appt.so we had to go up to the Riverside clinic to get the appt. quicker.  going to the surgery is not good.
Regular annual checks.  I've been told they are not done anymore, but I know other people who have them."
Constable2,Attentive service and staff,11/13/2017,5,"The whole staff are really helpful, very friendly and approachable.  Appointments aren't difficult to get;  I tend to pop in for booking some appointments but phone for reglar blood tests.  I visit the surgery regularly and have not had any problems."
Constable2,Attitude not always great,9/8/2018,2,"The attitude of the doctors is not great, telling someone to think themselves better really isn't going to make you better when there is something medically wrong."
Constable2,Attitude of staff can vary,10/5/2016,2,"The attitude of staff can vary, some people are very accommodating and others not so friendly. I'm happy to wait for my appointment if I know I'll be given the time I need. The explanation of treatment is poor but this is partly due to there not being enough time in appointments. Even if one issue only takes a minute to discuss you can still only discuss that one issue in your appointment. My annual medication review take place on the phone but I can't understand how I don't need blood or blood pressure checks considering the medication I'm on. Also I have to request the reviews as the surgery has never asked me to attend or book an appointment for one."
Constable2,Attitudes have improved,11/20/2015,4,There has been an improvement in staff attitude and getting an appointment is easier.
Constable2,Bad communication between staff,11/20/2015,3,Bad communication amongst the staff. Mixed information.
Constable2,Be better if could book appointment in advance,7/4/2017,5,Being able to book an appointment in advance would be much better. I didn't need an emergency appointment so it would have been better to pre-book an appointment.  Getting through on the phone is difficult and I drove to East Bergholt to book today's appointment.  A queue waiting system on the phone would be an improvement
Constable2,"Been left, once again, with no medication .",9/10/2020,1,"3 phone calls one visit , told my medications will be ready , now having to face the weekend with no medication."
Constable2,Being able to see the same Dr would be better,8/4/2016,3,"Previously I had booked an appointment with a doctor as I knew that the nurse wouldn't be able to deal with the situation but when I turned up i had an appointment with the nurse who then had to get the doctor in. 
As I have a complicated medical history it helps to see the same doctor to save time explaining everything. 
Changes in medication from the hospital are not actioned and on two occasions the repeat prescription has been lost and I've had to chase it."
